Issue #,Title,Description,Acceptance Criteria,Labels,Priority,Effort,Type,Assignee,Sprint,Branch Example,Commit Example
1,Setup repository + README,"Krijo repo publike, README dhe .gitignore për ProEstate.","Repo ekziston; README ka emrin, ekipin, përshkrimin; .gitignore është shtuar.",devops,High,1,DevOps,Eglis Haderaj,Sprint 1,devops/1-setup-repository-+-readme,devops: setup repository + readme
2,Krijo GitHub Project Board,Krijo board Kanban me kolonat e kërkuara.,"Kolonat Backlog, Sprint, In Progress, In Review, Done ekzistojnë; custom fields janë shtuar.",devops,High,2,DevOps,Eglis Haderaj,Sprint 1,devops/2-krijo-github-project-board,devops: krijo github project board
3,Konfiguro labels dhe milestones,Shto labels dhe milestones për sprintet.,"Labels feature, bug, docs, testing, ui/ux, devops, blocked ekzistojnë; Sprint 1-4 janë milestones.",devops,High,2,DevOps,Eglis Haderaj,Sprint 1,devops/3-konfiguro-labels-dhe-milestones,devops: konfiguro labels dhe milestones
4,Shkruaj SRS v1,Përgatit dokumentin e kërkesave për ProEstate.,SRS.md në /docs; ka kërkesa funksionale; ka kërkesa jo-funksionale; ka use cases.,docs,High,5,Docs,Harilla Bica,Sprint 1,docs/4-shkruaj-srs-v1,docs: shkruaj srs v1
5,Krijo wireframes lo-fi,Përgatit wireframes për faqet kryesore.,"Wireframes për login, register, properties, property details, dashboard; ruhen në /docs/wireframes.","docs, ui/ux",Medium,3,Docs,Eriseld Memia,Sprint 1,docs/5-krijo-wireframes-lo-fi,docs: krijo wireframes lo-fi
6,Krijo strukturën bazë të folderave,"Krijo strukturën src, docs, tests dhe .github.",Folderat ekzistojnë; issue templates ekzistojnë; struktura përputhet me udhëzuesin.,devops,High,2,DevOps,Eglis Haderaj,Sprint 1,devops/6-krijo-strukturen-baze-te-folderave,devops: krijo strukturën bazë të folderave
7,Përgatit template për feature issue,Shto feature.md në .github/ISSUE_TEMPLATE.,"Template ka description, acceptance criteria, shënime teknike dhe testim.",docs,Medium,1,Docs,Harilla Bica,Sprint 1,docs/7-pergatit-template-per-feature-issue,docs: përgatit template për feature issue
8,Përgatit template për bug issue,Shto bug.md në .github/ISSUE_TEMPLATE.,"Template ka përshkrim, hapa riprodhimi, sjellje të pritur dhe screenshots.",docs,Medium,1,Docs,Harilla Bica,Sprint 1,docs/8-pergatit-template-per-bug-issue,docs: përgatit template për bug issue
9,Shkruaj SDD v1,Përgatit dokumentin e design-it të softuerit.,"SDD.md ka arkitekturën, modulet, sigurinë, strukturën e folderave dhe rrjedhat kryesore.",docs,High,5,Docs,Eglis Haderaj,Sprint 2,docs/9-shkruaj-sdd-v1,docs: shkruaj sdd v1
10,Përgatit DB schema,Dokumento tabelat kryesore të databazës.,"db-schema.md ka users, properties, images, documents, appointments, reviews, messages, favorites.",docs,High,3,Docs,Harilla Bica,Sprint 2,docs/10-pergatit-db-schema,docs: përgatit db schema
11,Implemento formën e regjistrimit,Krijo frontend dhe backend për regjistrim.,Forma validohet; email unik; password hash; mesazh suksesi.,feature,High,5,Feature,Eriseld Memia,Sprint 2,feature/11-implemento-formen-e-regjistrimit,feature: implemento formën e regjistrimit
12,Implemento login dhe logout,Krijo hyrje/dalje me session.,Login punon; logout mbyll session; gabimet shfaqen qartë.,feature,High,3,Feature,Eglis Haderaj,Sprint 2,feature/12-implemento-login-dhe-logout,feature: implemento login dhe logout
13,Implemento role-based access,Kufizo faqet sipas roleve.,"Admin, agent, owner, client kanë akses të ndarë; faqet e ndaluara bllokohen.",feature,High,5,Feature,Eglis Haderaj,Sprint 2,feature/13-implemento-role-based-access,feature: implemento role-based access
14,Implemento CRUD për prona,"Shto, lexo, ndrysho dhe fshi prona.",Prona krijohet; editohet; fshihet/arkivohet; përdoruesi sheh vetëm pronat e veta.,feature,High,8,Feature,Eriseld Memia,Sprint 2,feature/14-implemento-crud-per-prona,feature: implemento crud për prona
15,Krijo dashboard bazë,Krijo dashboard për përdoruesit e loguar.,"Dashboard shfaq emrin, rolin, statistika bazë dhe navigim.","feature, ui/ux",Medium,3,Feature,Harilla Bica,Sprint 2,feature/15-krijo-dashboard-baze,feature: krijo dashboard bazë
16,Implemento upload fotosh,Shto upload për fotot e pronës.,Pranohen jpg/png; max 5 foto; madhësia kontrollohet; foto ruhet në DB.,feature,High,5,Feature,Eriseld Memia,Sprint 3,feature/16-implemento-upload-fotosh,feature: implemento upload fotosh
17,Implemento upload dokumentesh,Shto upload për PDF të pronës.,Pranohen vetëm PDF; max 3 dokumente; madhësia kontrollohet.,feature,Medium,3,Feature,Harilla Bica,Sprint 3,feature/17-implemento-upload-dokumentesh,feature: implemento upload dokumentesh
18,Implemento kërkimin me filtra,"Shto kërkim sipas qytetit, çmimit, tipit, dhomave dhe sipërfaqes.",Filtrat punojnë të kombinuar; rezultatet janë të sakta; ka pagination.,feature,High,8,Feature,Eglis Haderaj,Sprint 3,feature/18-implemento-kerkimin-me-filtra,feature: implemento kërkimin me filtra
19,Implemento detajet e pronës,Krijo faqen e plotë të pronës.,"Shfaq foto, çmim, lokacion, përshkrim, agjent dhe buton rezervimi.","feature, ui/ux",High,5,Feature,Eriseld Memia,Sprint 3,feature/19-implemento-detajet-e-prones,feature: implemento detajet e pronës
20,Implemento rezervimin e takimeve,Klienti rezervon takim për një pronë.,Datë/orë zgjidhet; overlap kontrollohet; statusi ruhet; mesazh suksesi.,feature,High,8,Feature,Eglis Haderaj,Sprint 3,feature/20-implemento-rezervimin-e-takimeve,feature: implemento rezervimin e takimeve
21,Shkruaj test report,Përgatit planin dhe raportin e testimit.,"test-report.md ka test cases, rezultate dhe bugs të gjetura.","testing, docs",High,3,Test,Harilla Bica,Sprint 3,docs/21-shkruaj-test-report,docs: shkruaj test report
22,Rregullo responsive design,Përmirëso UI për mobile dhe tablet.,"Faqet kryesore punojnë në 375px, 768px dhe desktop.",ui/ux,Medium,3,Feature,Eriseld Memia,Sprint 3,feature/22-rregullo-responsive-design,feature: rregullo responsive design
23,Implemento favorites,Klienti ruan prona të preferuara.,Add/remove favorite punon; lista e favorites shfaqet në profil.,feature,Medium,3,Feature,Harilla Bica,Sprint 4,feature/23-implemento-favorites,feature: implemento favorites
24,Implemento reviews bazë,Klienti lë vlerësim për agjentin.,Rating 1-5; koment opsional; review shfaqet në profil.,feature,Medium,5,Feature,Eriseld Memia,Sprint 4,feature/24-implemento-reviews-baze,feature: implemento reviews bazë
25,Implemento admin panel,Admin menaxhon përdoruesit dhe pronat.,Admin sheh users; ndryshon status; shikon prona; sheh statistika.,feature,High,8,Feature,Eglis Haderaj,Sprint 4,feature/25-implemento-admin-panel,feature: implemento admin panel
26,Përgatit deployment guide,Shkruaj udhëzuesin e instalimit/deployment.,"deployment.md ka kërkesa, hapa instalimi, DB setup dhe probleme të zakonshme.","docs, devops",High,3,Docs,Harilla Bica,Sprint 4,docs/26-pergatit-deployment-guide,docs: përgatit deployment guide
27,Përgatit user manual,Shkruaj manualin e përdoruesit.,"user-manual.md shpjegon regjistrim, login, shtim prone, kërkim, rezervim dhe admin panel.",docs,High,3,Docs,Harilla Bica,Sprint 4,docs/27-pergatit-user-manual,docs: përgatit user manual
28,Final polish dhe bug fixes,Rregullo gabimet finale para prezantimit.,Nuk ka error kryesor; UI është konsistent; demo funksionon.,"bug, ui/ux",High,5,Bug,Eglis Haderaj,Sprint 4,bugfix/28-final-polish-dhe-bug-fixes,fix: final polish dhe bug fixes
